cusip,name,indicator,type,issuedate,maturitydate,originalface,istbaelig
3618J7GG9,DE1999,C,SF,20241001,20541020,10150742,False
3618J7GH7,DE2000,C,SF,20241001,20541020,4875762,False
3618J7GJ3,DE2001,C,SF,20241001,20541020,15256815,False
3618J7GK0,DE2002,C,SF,20241001,20541020,10039639,False
3618J7GL8,DE2003,C,SF,20241001,20541020,10230083,False
3618J7GM6,DE2004,C,SF,20241001,20541020,10184090,False
3618J7GN4,DE2005,C,SF,20241001,20541020,10072651,False
3618J7GP9,DE2006,C,SF,20241001,20541020,10165617,False
3618J7GQ7,DE2007,C,SF,20241001,20540920,1785491,False
3618J7GR5,DE2008,C,SF,20241001,20541020,1660100,False
3618J7GS3,DE2009,C,SF,20241001,20541020,1418207,False
3618J7GT1,DE2010,C,SF,20241001,20541020,9216756,False
3618J7GU8,DE2011,C,SF,20241001,20541020,5123731,False
3618J7GV6,DE2012,C,SF,20241001,20541020,7152749,False
3618J7GW4,DE2013,C,SF,20241001,20541020,10248201,False
3618J7GX2,DE2014,C,SF,20241001,20541020,15319006,False
3618J7GY0,DE2015,C,SF,20241001,20541020,8198012,False
3618J7GZ7,DE2016,C,SF,20241001,20541020,10107133,False
3618J7G20,DE2017,C,SF,20241001,20541020,10099517,False
3618J7G38,DE2018,C,SF,20241001,20541020,3947115,False
3618J7G46,DE2019,C,SF,20241001,20541020,7051912,False
3618J7G53,DE2020,C,SF,20241001,20541020,14706734,False
3618J7G61,DE2021,C,SF,20241001,20541020,9091157,False
3618J7G79,DE2022,C,SF,20241001,20541020,7045202,False
3618J7G87,DE2023,C,SF,20241001,20541020,10249482,False
3618J7G95,DE2024,C,SF,20241001,20541020,4968226,False
3618J7HA1,DE2025,C,SF,20241001,20541020,10248919,False
3618J7HB9,DE2026,C,SF,20241001,20541020,4992714,False
3618J7HC7,DE2027,C,SF,20241001,20541020,17161600,False
3618J7HD5,DE2028,C,SF,20241001,20541020,1332546,False
3618J7HE3,DE2029,C,SF,20241001,20541020,4789163,False
3618J7HF0,DE2030,C,SF,20241001,20541020,3667254,False
3618J7HG8,DE2031,C,SF,20241001,20541020,1009555,False
3618J7HH6,DE2032,C,SF,20241001,20541020,1393685,False
3618J7HJ2,DE2033,C,ET,20241001,20641020,45673765,False
3618J7HK9,DE2034,C,ET,20241001,20641020,360651,False
3618J7HL7,DE2035,C,ET,20241001,20640920,3925756,False
3618J7HM5,DE2036,C,ET,20241001,20641020,21830638,False
3618J7HN3,DE2037,C,ET,20241001,20640920,617867,False
3618J7HP8,DE2038,C,SF,20241001,20541020,10129572,False
3618J7HQ6,DE2039,C,SF,20241001,20541020,10058068,False
3618J7HR4,DE2040,C,SF,20241001,20541020,6067736,False
3618J7HS2,DE2041,C,SF,20241001,20541020,8144580,False
3618J7HT0,DE2042,C,SF,20241001,20541020,10138051,False
3618J7HU7,DE2043,C,SF,20241001,20541020,10102709,False
3618J7HV5,DE2044,C,SF,20241001,20541020,4107765,False
3618J7HW3,DE2045,C,SF,20241001,20541020,1260737,False
3618J7HX1,DE2046,C,SF,20241001,20541020,8065513,False
