3618FUBU6, CX7251C, 1630300.00, 1A, GNR 2023-183
3618FWCN7, CX9077C, 2024205.00, 1A, GNR 2023-183
3618G2T46, CY3271C, 6057179.00, 1A, GNR 2023-183
3618FQBT8, CX3650C, 1955775.00, 1A, GNR 2023-183
3618G95L9, CY9851C, 3471434.00, 1A, GNR 2023-183
3618G8J51, CY8384C, 1062089.00, 1A, GNR 2023-183
3618FHGS5, CW8309C, 3253961.00, 1A, GNR 2023-183
3618F9YR5, CW1620C, 7048877.00, 1A, GNR 2023-183
3618FTUN4, CX6889C, 1048955.00, 1A, GNR 2023-183
3618F9WF3, CW1546C, 1886155.00, 1B, GNR 2023-183
3618FGRG1, CW7687C, 1155259.00, 1B, GNR 2023-183
3618G8VK4, CY8718C, 2935636.00, 1B, GNR 2023-183
3618FB7L3, CW3599C, 3496130.00, 1B, GNR 2023-183
3618BXRN3, CV2293C, 5102391.00, 1B, GNR 2023-183
3618G2A38, CY2726C, 5550902.00, 1B, GNR 2023-183
3618BHK88, CU0319C, 4830261.00, 1B, GNR 2023-183
3618G6K46, CY6615C, 1872919.00, 1B, GNR 2023-183
3618F9VK3, CW1518C, 1484093.00, 1B, GNR 2023-183
3618G57M3, CY6300C, 2385694.00, 1B, GNR 2023-183
3618FR2Y5, CX5291C, 1076913.00, 1B, GNR 2023-183
3618GBTG9, CZ0551C, 5267453.00, 1B, GNR 2023-183
3618F45Q0, CV8055C, 3944922.00, 1B, GNR 2023-183
3618G5DZ7, CY5520C, 973705.00, 1B, GNR 2023-183
3618FTUC8, CX6879C, 1003578.00, 1B, GNR 2023-183
3618G4M56, CY4880C, 1010850.00, 1B, GNR 2023-183
3618ATR86, CS1411C, 1351433.00, 1B, GNR 2023-183
3618G2JU9, CY2975C, 12995.00, 1B, GNR 2023-183
3618FLHV8, CX0244C, 2951434.00, 1B, GNR 2023-183
3618FDUX7, CW5098C, 1704454.00, 1B, GNR 2023-183
3618G2A46, CY2727C, 4443916.00, 1B, GNR 2023-183
3618G5D20, CY5521C, 1002785.00, 1B, GNR 2023-183
3618G1KD7, CY2092C, 1054191.00, 1B, GNR 2023-183
3618F9ZZ6, CW1660C, 7824359.00, 1B, GNR 2023-183
3618G1PM2, CY2228C, 3032664.00, 1B, GNR 2023-183
3618FML66, CX1249C, 1566700.00, 1B, GNR 2023-183
3618G1KE5, CY2093C, 1160588.00, 1B, GNR 2023-183
3618ATY54, CS1632C, 1168004.00, 1C, GNR 2023-183
3618FLHU0, CX0243C, 1988932.00, 1C, GNR 2023-183
3618G1KB1, CY2090C, 1736188.00, 1C, GNR 2023-183
3618G4M64, CY4881C, 1014149.00, 1C, GNR 2023-183
3618FDUA7, CW5077C, 2364279.00, 1C, GNR 2023-183
3618FMCB5, CX0966C, 1381236.00, 1C, GNR 2023-183
3618GD2F6, CZ2574C, 4981847.00, 1C, GNR 2023-183
