"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-05-01","'31418BGG5'","MBS","UMBS MORTPASS 3% 08/24","Other",,,,,"6286.66",,,,,,""
"2024-05-01","'36296KPL0'","MBS","GNMA I 5.5% 07/38","30yr",,,,,"6277.77",,,,,,""
"2024-05-01","'36201XR59'","MBS","GNMA I 5.5% 05/36","30yr",,,,,"6261.22",,,,,,""
"2024-05-01","'36230KL66'","MBS","GNMA I MORTPASS 4% 10/40","30yr",,,,,"6248.44",,,,,,""
"2024-05-01","'3140F7W54'","MBS","UMBS MORTPASS 4.5% 06/47","30yr",,,,,"6244.59",,,,,,""
"2024-05-01","'36297BAU5'","MBS","GNMA I 5.5% 02/39","30yr",,,,,"6238.56",,,,,,""
"2024-05-01","'31416R6V0'","MBS","UMBS MORTPASS 5.5% 06/39","30yr",,,,,"6237.05",,,,,,""
"2024-05-01","'3138X2F82'","MBS","UMBS MORTPASS 2.5% 08/28","15yr",,,,,"6235.20",,,,,,""
"2024-05-01","'3131XBA58'","MBS","UMBS MORTPASS 2% 04/30","15yr",,,,,"6228.98",,,,,,""
"2024-05-01","'36178YWW1'","MBS","GNMA I MORTPASS 3% 06/43","30yr",,,,,"6221.32",,,,,,""
"2024-05-01","'36296JDW2'","MBS","GNMA I MORTPASS 5% 01/39","30yr",,,,,"6219.14",,,,,,""
"2024-05-01","'36291BUX3'","MBS","GNMA I MORTPASS 5% 05/34","30yr",,,,,"6212.13",,,,,,""
"2024-05-01","'3140X4LH7'","MBS","UMBS MORTPASS 3% 04/32","15yr",,,,,"6203.40",,,,,,""
"2024-05-01","'31418XX60'","MBS","UMBS MORTPASS 4% 08/25","15yr",,,,,"6189.48",,,,,,""
"2024-05-01","'3140JKY26'","MBS","UMBS MORTPASS 3.5% 01/49","30yr",,,,,"6151.12",,,,,,""
"2024-05-01","'31418QYC1'","MBS","UMBS MORTPASS 4.5% 02/25","15yr",,,,,"6146.94",,,,,,""
"2024-05-01","'3140JXUR7'","MBS","UMBS MORTPASS 2% 09/34","15yr",,,,,"6145.31",,,,,,""
"2024-05-01","'36202EJG5'","MBS","GNMA II MORTPASS 5% 06/36","30yr",,,,,"6130.68",,,,,,""
"2024-05-01","'31412T2U6'","MBS","UMBS MORTPASS 6.5% 12/38","30yr",,,,,"6128.93",,,,,,""
"2024-05-01","'31412MXQ6'","MBS","UMBS MORTPASS 5% 06/38","30yr",,,,,"6114.75",,,,,,""
"2024-05-01","'3140K7PP2'","MBS","UMBS MORTPASS 4% 03/50","30yr",,,,,"6110.43",,,,,,""
"2024-05-01","'36176QN75'","MBS","GNMA I MORTPASS 4% 01/42","30yr",,,,,"6105.34",,,,,,""
"2024-05-01","'36176KEQ6'","MBS","GNMA I MORTPASS 4% 08/41","30yr",,,,,"6098.00",,,,,,""
"2024-05-01","'3138WHHW5'","MBS","UMBS MORTPASS 2.5% 06/31","15yr",,,,,"6087.88",,,,,,""
"2024-05-01","'31411NQ59'","MBS","UMBS MORTPASS 6% 03/37","30yr",,,,,"6087.67",,,,,,""
"2024-05-01","'36179Q3G4'","MBS","GNMA II 2.5% 02/45","30yr",,,,,"6087.33",,,,,,""
"2024-05-01","'36201DU75'","MBS","GNMA I 5.5% 08/37","30yr",,,,,"6077.73",,,,,,""
"2024-05-01","'3131XBXW4'","MBS","UMBS MORTPASS 2% 01/31","15yr",,,,,"6075.65",,,,,,""
"2024-05-01","'36200WPZ8'","MBS","GNMA I MORTPASS 5% 03/34","30yr",,,,,"6074.88",,,,,,""
"2024-05-01","'36213YAN2'","MBS","GNMA I 5.5% 01/39","30yr",,,,,"6064.82",,,,,,""
"2024-05-01","'3620A8UH4'","MBS","GNMA I MORTPASS 5% 10/39","30yr",,,,,"6063.67",,,,,,""
"2024-05-01","'3138E1QJ9'","MBS","UMBS MORTPASS 3% 02/27","15yr",,,,,"6063.27",,,,,,""
"2024-05-01","'36200MY31'","MBS","GNMA I MORTPASS 5% 10/33","30yr",,,,,"6042.86",,,,,,""
"2024-05-01","'36291UNE1'","MBS","GNMA I 4.5% 02/39","30yr",,,,,"6034.25",,,,,,""
"2024-05-01","'3140GWFR9'","MBS","UMBS MORTPASS 3.5% 08/47","30yr",,,,,"6031.84",,,,,,""
"2024-05-01","'31417YX44'","MBS","UMBS MORTPASS 3.5% 04/26","15yr",,,,,"6025.09",,,,,,""
"2024-05-01","'36296MHC5'","MBS","GNMA I 4.5% 04/39","30yr",,,,,"6009.15",,,,,,""
"2024-05-01","'31418BY91'","MBS","UMBS MORTPASS 4.5% 02/46","30yr",,,,,"6007.40",,,,,,""
"2024-05-01","'31417AXL8'","MBS","UMBS MORTPASS 3% 01/27","15yr",,,,,"5980.36",,,,,,""
