3618BCG68, CT6521C, 1110262.00, 2, GNR 2023-103
3618BCG84, CT6523C, 1512278.00, 2, GNR 2023-103
3618BCHG5, CT6531C, 997782.00, 2, GNR 2023-103
3618BCHQ3, CT6539C, 826535.00, 2, GNR 2023-103
3618BHUJ3, CU0585C, 149493.00, 2, GNR 2023-103
3618BNM42, CU4879C, 110853.00, 2, GNR 2023-103
3618BQDJ2, CU6405C, 615129.00, 2, GNR 2023-103
3618BQDK9, CU6406C, 803788.00, 2, GNR 2023-103
3618BQD37, CU6422C, 1000491.00, 2, GNR 2023-103
3618BQEN2, CU6441C, 235318.00, 2, GNR 2023-103
3618BQFS0, CU6477C, 691570.00, 2, GNR 2023-103
3618BQHT6, CU6542C, 343770.00, 2, GNR 2023-103
3618BQHW9, CU6545C, 578368.00, 2, GNR 2023-103
3618BQJ31, CU6582C, 466204.00, 2, GNR 2023-103
3618BSXD9, CU8776C, 159474.00, 2, GNR 2023-103
3618BSXE7, CU8777C, 123526.00, 2, GNR 2023-103
3618BTJL5, CU9267C, 243790.00, 2, GNR 2023-103
3618BTJP6, CU9270C, 113524.00, 2, GNR 2023-103
3618BTJS0, CU9273C, 184389.00, 2, GNR 2023-103
3618BTJU5, CU9275C, 169477.00, 2, GNR 2023-103
3618BTUN8, CU9589C, 181302.00, 2, GNR 2023-103
3618BTUP3, CU9590C, 257310.00, 2, GNR 2023-103
3618BTUT5, CU9594C, 217164.00, 2, GNR 2023-103
3618BTUU2, CU9595C, 263090.00, 2, GNR 2023-103
3618BVAN5, CV0013C, 124673.00, 2, GNR 2023-103
3618BYSJ9, CV3221C, 115303.00, 2, GNR 2023-103
3618BYUM9, CV3288C, 115681.00, 2, GNR 2023-103
3618BY2S7, CV3485C, 1271695.00, 2, GNR 2023-103
3618BY2T5, CV3486C, 1661139.00, 2, GNR 2023-103
3618BY2U2, CV3487C, 732203.00, 2, GNR 2023-103
3618BY2V0, CV3488C, 948960.00, 2, GNR 2023-103
3618BY2X6, CV3490C, 1084853.00, 2, GNR 2023-103
3618BY2Y4, CV3491C, 435617.00, 2, GNR 2023-103
3618BY5Z8, CV3564C, 179491.00, 2, GNR 2023-103
3618BY6A2, CV3565C, 121154.00, 2, GNR 2023-103
3618BY6B0, CV3566C, 496054.00, 2, GNR 2023-103
3618BY6D6, CV3568C, 426971.00, 2, GNR 2023-103
3618BY6H7, CV3572C, 414708.00, 2, GNR 2023-103
3618BY6K0, CV3574C, 535077.00, 2, GNR 2023-103
3618BY6M6, CV3576C, 196086.00, 2, GNR 2023-103
3618F0GP8, CV3806C, 136455.00, 2, GNR 2023-103
3618F0GQ6, CV3807C, 157105.00, 2, GNR 2023-103
3618F0WJ4, CV4249C, 207038.00, 2, GNR 2023-103
3618F1AM9, CV4512C, 797309.00, 2, GNR 2023-103
3618F1AN7, CV4513C, 716494.00, 2, GNR 2023-103
3618F1AP2, CV4514C, 684157.00, 2, GNR 2023-103
3618F1AR8, CV4516C, 818381.00, 2, GNR 2023-103
3618F1ML8, CV4863C, 116857.00, 2, GNR 2023-103
3618F1MM6, CV4864C, 121431.00, 2, GNR 2023-103
3618F1M46, CV4879C, 128685.00, 2, GNR 2023-103
3618F2SF3, CV5918C, 310680.00, 2, GNR 2023-103
3618F2SG1, CV5919C, 128600.00, 2, GNR 2023-103
3618F2SH9, CV5920C, 168388.00, 2, GNR 2023-103
3618F2SJ5, CV5921C, 115963.00, 2, GNR 2023-103
3618F3WL3, CV6951C, 145743.00, 2, GNR 2023-103
3618F33R2, CV7108C, 619252.00, 2, GNR 2023-103
3618F34R1, CV7132C, 233396.00, 2, GNR 2023-103
3618F34S9, CV7133C, 618840.00, 2, GNR 2023-103
3618F36S7, CV7181C, 307110.00, 2, GNR 2023-103
3618F36T5, CV7182C, 815249.00, 2, GNR 2023-103
3618F4HK0, CV7434C, 125284.00, 2, GNR 2023-103
3618F4HQ7, CV7439C, 121737.00, 2, GNR 2023-103
3618F4HR5, CV7440C, 117759.00, 2, GNR 2023-103
3618F54F2, CV8922C, 113832.00, 2, GNR 2023-103
3618F54G0, CV8923C, 109807.00, 2, GNR 2023-103
3618F54H8, CV8924C, 310595.00, 2, GNR 2023-103
3618F54J4, CV8925C, 116982.00, 2, GNR 2023-103
3618F54K1, CV8926C, 133509.00, 2, GNR 2023-103
3618F54L9, CV8927C, 169537.00, 2, GNR 2023-103
3618F66H4, CV9872C, 127314.00, 2, GNR 2023-103
3618F66K7, CV9874C, 204998.00, 2, GNR 2023-103
3618F66L5, CV9875C, 318082.00, 2, GNR 2023-103
3618F66M3, CV9876C, 421013.00, 2, GNR 2023-103
3618F66N1, CV9877C, 281724.00, 2, GNR 2023-103
3618F66P6, CV9878C, 583588.00, 2, GNR 2023-103
3618F66Q4, CV9879C, 349306.00, 2, GNR 2023-103
3618F66R2, CV9880C, 288211.00, 2, GNR 2023-103
3618F66X9, CV9886C, 208095.00, 2, GNR 2023-103
3618F67F7, CV9894C, 337173.00, 2, GNR 2023-103
3618F7AD6, CV9904C, 434713.00, 2, GNR 2023-103
3618F7AE4, CV9905C, 555736.00, 2, GNR 2023-103
3618F84Y5, CW0839C, 238565.00, 2, GNR 2023-103
3618F84Z2, CW0840C, 774866.00, 2, GNR 2023-103
3618F85A6, CW0841C, 585352.00, 2, GNR 2023-103
3618F86J6, CW0873C, 127709.00, 2, GNR 2023-103
36179YAT1, MA9018M, 14186007.00, 3, GNR 2023-103
3618BCGQ4, CT6507C, 7028347.00, 4A, GNR 2023-103
3618BCGT8, CT6510C, 6318361.00, 4A, GNR 2023-103
3618BCG43, CT6519C, 7786351.00, 4A, GNR 2023-103
3618BCG84, CT6523C, 3095172.00, 4A, GNR 2023-103
3618BCHQ3, CT6539C, 6319397.00, 4A, GNR 2023-103
3618BHUJ3, CU0585C, 1142969.00, 4A, GNR 2023-103
3618BQDJ2, CU6405C, 4703066.00, 4A, GNR 2023-103
3618BQDK9, CU6406C, 6145482.00, 4A, GNR 2023-103
3618BQD37, CU6422C, 7649410.00, 4A, GNR 2023-103
3618BQEN2, CU6441C, 1799156.00, 4A, GNR 2023-103
3618BQFS0, CU6477C, 5287508.00, 4A, GNR 2023-103
3618BQHT6, CU6542C, 2628349.00, 4A, GNR 2023-103
3618BQHW9, CU6545C, 4421999.00, 4A, GNR 2023-103
3618BQJ31, CU6582C, 3564433.00, 4A, GNR 2023-103
3618BVAN5, CV0013C, 953206.00, 4A, GNR 2023-103
3618BY2S7, CV3485C, 9722935.00, 4A, GNR 2023-103
3618BY2T5, CV3486C, 12700484.00, 4A, GNR 2023-103
3618BY2U2, CV3487C, 5598170.00, 4A, GNR 2023-103
3618BY2V0, CV3488C, 7255423.00, 4A, GNR 2023-103
3618BY2X6, CV3490C, 8294408.00, 4A, GNR 2023-103
3618BY2Y4, CV3491C, 3330579.00, 4A, GNR 2023-103
3618F0GP8, CV3806C, 1043288.00, 4A, GNR 2023-103
3618F0GQ6, CV3807C, 1201174.00, 4A, GNR 2023-103
3618F1AM9, CV4512C, 6095948.00, 4A, GNR 2023-103
3618F1AN7, CV4513C, 5478067.00, 4A, GNR 2023-103
3618F1AP2, CV4514C, 5230827.00, 4A, GNR 2023-103
3618F1AR8, CV4516C, 6257057.00, 4A, GNR 2023-103
3618F3WL3, CV6951C, 1114301.00, 4A, GNR 2023-103
3618F33R2, CV7108C, 4734588.00, 4A, GNR 2023-103
3618F34R1, CV7132C, 1784468.00, 4A, GNR 2023-103
3618F34S9, CV7133C, 4731435.00, 4A, GNR 2023-103
3618B5M58, CT0380C, 1386355.00, 4B, GNR 2023-103
