3618BDA96, CT7232C, 1582440.00, 3A, GNR 2023-064
3618BDD28, CT7321C, 7961979.00, 3A, GNR 2023-064
3618BDD36, CT7322C, 7468522.00, 3A, GNR 2023-064
3618BDD44, CT7323C, 12746615.00, 3A, GNR 2023-064
3618BDD69, CT7325C, 18918833.00, 3A, GNR 2023-064
3618BDD77, CT7326C, 13200041.00, 3A, GNR 2023-064
3618BDN68, CT7613C, 469986.00, 3A, GNR 2023-064
3618BEC84, CT8195C, 180700.00, 3A, GNR 2023-064
3618BEGA5, CT8293C, 1014309.00, 3A, GNR 2023-064
3618BEGL1, CT8303C, 1107094.00, 3A, GNR 2023-064
3618BEHT3, CT8342C, 214888.00, 3A, GNR 2023-064
3618BEHW6, CT8345C, 222309.00, 3A, GNR 2023-064
3618BELC5, CT8423C, 327687.00, 3A, GNR 2023-064
3618BE4U4, CT8935C, 1101656.00, 3A, GNR 2023-064
3618BE6Q1, CT8979C, 2584685.00, 3A, GNR 2023-064
3618BFQY9, CT9471C, 1107981.00, 3A, GNR 2023-064
3618BFQZ6, CT9472C, 1070948.00, 3A, GNR 2023-064
3618BFQ37, CT9474C, 1139466.00, 3A, GNR 2023-064
3618BFVX5, CT9630C, 200681.00, 3A, GNR 2023-064
3618BFVY3, CT9631C, 314936.00, 3A, GNR 2023-064
3618BF7H7, CT9896C, 188250.00, 3A, GNR 2023-064
3618BHTF3, CU0550C, 1193239.00, 3A, GNR 2023-064
3618BJZ21, CU1661C, 1120956.00, 3A, GNR 2023-064
3618BKPG8, CU2223C, 284302.00, 3A, GNR 2023-064
3618BKPH6, CU2224C, 252018.00, 3A, GNR 2023-064
3618BKPV5, CU2236C, 2355947.00, 3A, GNR 2023-064
3618BLH34, CU2950C, 717629.00, 3A, GNR 2023-064
3618BLH42, CU2951C, 875010.00, 3A, GNR 2023-064
3618BLKB2, CU2990C, 1311054.00, 3A, GNR 2023-064
3618BLKC0, CU2991C, 2901238.00, 3A, GNR 2023-064
3618BLKD8, CU2992C, 1101217.00, 3A, GNR 2023-064
3618BMFE0, CU3765C, 1690073.00, 3A, GNR 2023-064
3618BNYA5, CU5205C, 1105758.00, 3A, GNR 2023-064
3618BQAK2, CU6310C, 6903886.00, 3A, GNR 2023-064
36179XX84, MA8803M, 50145101.00, 3B, GNR 2023-064
36179XQY5, MA8571M, 35000000.00, 4, GNR 2023-064
