3618GEZA9, CZ3437C, 1070107.00, 8, GNR 2024-077
3618GEZC5, CZ3439C, 799741.00, 8, GNR 2024-077
3618GEZD3, CZ3440C, 391986.00, 8, GNR 2024-077
3618GEZE1, CZ3441C, 462456.00, 8, GNR 2024-077
3618GEZF8, CZ3442C, 1068124.00, 8, GNR 2024-077
3618GEZG6, CZ3443C, 456251.00, 8, GNR 2024-077
3618GFLE3, CZ3925C, 1196794.00, 8, GNR 2024-077
3618GFMZ5, CZ3976C, 1771631.00, 8, GNR 2024-077
3618GFN35, CZ4010C, 2953283.00, 8, GNR 2024-077
3618GFN76, CZ4014C, 3186136.00, 8, GNR 2024-077
3618GHM40, CZ5779C, 428071.00, 8, GNR 2024-077
3618GHQ61, CZ5877C, 630598.00, 8, GNR 2024-077
3618GHVF5, CZ6014C, 1469338.00, 8, GNR 2024-077
3618GHXH9, CZ6080C, 2155850.00, 8, GNR 2024-077
3618GJLG0, CZ6627C, 4730456.00, 8, GNR 2024-077
3618GJTM9, CZ6856C, 2641662.00, 8, GNR 2024-077
3618GKCW2, CZ7285C, 396634.00, 8, GNR 2024-077
3618GKE67, CZ7357C, 603739.00, 8, GNR 2024-077
3618GKKX1, CZ7510C, 439393.00, 8, GNR 2024-077
3618GKLX0, CZ7542C, 413389.00, 8, GNR 2024-077
3618GKNA8, CZ7585C, 409941.00, 8, GNR 2024-077
3618GKU28, CZ7801C, 446206.00, 8, GNR 2024-077
3618GMBF6, CZ9038C, 1642453.00, 8, GNR 2024-077
3618GMBG4, CZ9039C, 686013.00, 8, GNR 2024-077
3618GMBH2, CZ9040C, 728287.00, 8, GNR 2024-077
3618GMBJ8, CZ9041C, 395842.00, 8, GNR 2024-077
3618GMG46, CZ9219C, 2453143.00, 8, GNR 2024-077
3618GMG53, CZ9220C, 1902799.00, 8, GNR 2024-077
3618GMG61, CZ9221C, 2097583.00, 8, GNR 2024-077
3618GMG79, CZ9222C, 1180031.00, 8, GNR 2024-077
3618GMG87, CZ9223C, 3727747.00, 8, GNR 2024-077
3618GM3P3, CZ9806C, 2669342.00, 8, GNR 2024-077
3618GPYX5, DA0726C, 1266648.00, 8, GNR 2024-077
3618GVFQ8, DA5575C, 727678.00, 8, GNR 2024-077
3618GVGG9, DA5599C, 2634769.00, 8, GNR 2024-077
3618GVKZ2, DA5712C, 1375686.00, 8, GNR 2024-077
3618GVLX6, DA5742C, 658714.00, 8, GNR 2024-077
3618GVZY9, DA6159C, 847421.00, 8, GNR 2024-077
3618GWGG7, DA6499C, 648252.00, 8, GNR 2024-077
3618GWNH7, DA6692C, 1411932.00, 8, GNR 2024-077
3618H24Z3, DB0840C, 2564427.00, 8, GNR 2024-077
3618H3AU5, DB0919C, 1247610.00, 8, GNR 2024-077
3618H6JJ4, DB3865C, 1253208.00, 8, GNR 2024-077
3618H7FN7, DB4673C, 1148810.00, 8, GNR 2024-077
3618H7GZ9, DB4716C, 792961.00, 8, GNR 2024-077
3618H7JM5, DB4768C, 1450884.00, 8, GNR 2024-077
3618H7KU5, DB4807C, 1741672.00, 8, GNR 2024-077
3618H7LH3, DB4828C, 5933701.00, 8, GNR 2024-077
3618H7L91, DB4852C, 635389.00, 8, GNR 2024-077
3618H8Z52, DB6164C, 3967975.00, 8, GNR 2024-077
3618H9MV7, DB6672C, 1425702.00, 8, GNR 2024-077
3618H9MW5, DB6673C, 1794090.00, 8, GNR 2024-077
3618HB6K4, DB8974C, 1157531.00, 8, GNR 2024-077
3618HF3D4, DC1696C, 1314779.00, 8, GNR 2024-077
3618HF3Q5, DC1707C, 1860425.00, 8, GNR 2024-077
3618HF3S1, DC1709C, 1248006.00, 8, GNR 2024-077
3622ACRG7, 786887C, 1728863.00, 9, GNR 2024-077
3622ADBE7, 787337C, 69843689.00, 9, GNR 2024-077
3618G7GD9, CY7396C, 558541.00, 9, GNR 2024-077
3618GCN24, CZ1309C, 5628573.00, 9, GNR 2024-077
3618GHKW0, CZ5709C, 521442.00, 9, GNR 2024-077
3618GKMP6, CZ7566C, 703164.00, 9, GNR 2024-077
3618GKUZ5, CZ7800C, 844030.00, 9, GNR 2024-077
3618GRCF4, DA1870C, 2935206.00, 9, GNR 2024-077
3618GVSN1, DA5925C, 6332289.00, 9, GNR 2024-077
3618GYLA0, DA8421C, 5686603.00, 9, GNR 2024-077
3618H3AP6, DB0914C, 2420881.00, 9, GNR 2024-077
3618H3H46, DB1151C, 1005628.00, 9, GNR 2024-077
3618H7UX8, DB5098C, 3829543.00, 9, GNR 2024-077
3622AC4Z0, 787240C, 15000000.00, 10, GNR 2024-077
3618FT5X0, CX7162C, 148473.00, 11, GNR 2024-077
3618G7N58, CY7612C, 1073949.00, 11, GNR 2024-077
3618GQTJ0, DA1453C, 1675243.00, 11, GNR 2024-077
3618GUUR1, DA5092C, 1074084.00, 11, GNR 2024-077
3618GUU67, DA5105C, 2968866.00, 11, GNR 2024-077
3618GUU75, DA5106C, 2220987.00, 11, GNR 2024-077
3618GUU83, DA5107C, 1609274.00, 11, GNR 2024-077
3618H03H8, DA9800C, 2134060.00, 11, GNR 2024-077
3618H03K1, DA9802C, 2892990.00, 11, GNR 2024-077
3618H4XK0, DB2482C, 1303846.00, 11, GNR 2024-077
3618H9HG6, DB6531C, 1150741.00, 11, GNR 2024-077
3618HBQ55, DB8576C, 1565505.00, 11, GNR 2024-077
3618HCKA8, DB9289C, 1583095.00, 11, GNR 2024-077
3618HCZQ7, DB9751C, 3214354.00, 11, GNR 2024-077
3618HCZR5, DB9752C, 4513510.00, 11, GNR 2024-077
3618HCZT1, DB9754C, 1275384.00, 11, GNR 2024-077
3618HCZY0, DB9759C, 1968195.00, 11, GNR 2024-077
3618HEFZ5, DC0184C, 5705150.00, 11, GNR 2024-077
3618HEF28, DC0185C, 7048510.00, 11, GNR 2024-077
3618HETT4, DC0562C, 1422813.00, 11, GNR 2024-077
3618HFA87, DC0931C, 3573703.00, 11, GNR 2024-077
3618HLC90, DC5496C, 1015957.00, 11, GNR 2024-077
36179YL36, MA9346M, 50341.00, T, GNR 2024-077
36179YRK2, MA9490M, 20157169.00, 1, GNR 2024-078
3618FCPP2, CW4030C, 782678.00, 2, GNR 2024-078
3618GHXV8, CZ6092C, 1866884.00, 2, GNR 2024-078
3618FVYY1, CX8827C, 84948.00, 2, GNR 2024-078
3618AXM90, CS4884C, 67966.00, 2, GNR 2024-078
3618AYB33, CS5458C, 601586.00, 2, GNR 2024-078
3618FJME5, CW9357C, 21840.00, 2, GNR 2024-078
3618G7AK9, CY7210C, 16692.00, 2, GNR 2024-078
3618FGA20, CW7225C, 82838.00, 2, GNR 2024-078
3618F4WK3, CV7850C, 21096.00, 2, GNR 2024-078
3618FFGW0, CW6513C, 86982.00, 2, GNR 2024-078
3618GWBJ6, DA6341C, 179998.00, 2, GNR 2024-078
3618FJZQ4, CW9751C, 873054.00, 2, GNR 2024-078
3618FJ6A1, CW9865C, 1460866.00, 2, GNR 2024-078
3618GF2Y0, CZ4391C, 46454.00, 2, GNR 2024-078
3618G6PD1, CY6720C, 32550.00, 2, GNR 2024-078
3618GF2H7, CZ4376C, 256456.00, 2, GNR 2024-078
3618AQJW8, CR9277C, 416944.00, 2, GNR 2024-078
3618F0DS5, CV3713C, 74758.00, 2, GNR 2024-078
3618GFJN6, CZ3869C, 12084.00, 2, GNR 2024-078
3618FMUC3, CX1479C, 82632.00, 2, GNR 2024-078
3618G3ZQ8, CY4351C, 935916.00, 2, GNR 2024-078
3618G2R63, CY3209C, 92548.00, 2, GNR 2024-078
3618AHWY9, CR3363C, 52474.00, 2, GNR 2024-078
3618GLS78, CZ8642C, 340212.00, 2, GNR 2024-078
3618FVZW4, CX8857C, 366748.00, 2, GNR 2024-078
3618G4LP3, CY4834C, 203290.00, 2, GNR 2024-078
3618BHHJ8, CU0233C, 198232.00, 2, GNR 2024-078
3618FCRB1, CW4082C, 1100556.00, 2, GNR 2024-078
3618GBLR3, CZ0336C, 16016.00, 2, GNR 2024-078
3618FTLK0, CX6630C, 283934.00, 2, GNR 2024-078
3618AHY68, CR3433C, 91698.00, 2, GNR 2024-078
3618F4WC1, CV7843C, 59018.00, 2, GNR 2024-078
3618GHAX9, CZ5422C, 763396.00, 2, GNR 2024-078
